Year,Quarter,Month,Day,net profit,Revenue,net revenue,Tổng đơn hàng
2012,Qtr 3,July,4,1122502.5169428638,5130052.309999999,4956958.969999999,162
2012,Qtr 3,July,5,602162.1275707016,2766170.520000001,2701736.290000001,97
2012,Qtr 3,July,6,513388.5716916902,3070014.409999999,2866165.32,93
2012,Qtr 3,July,7,536777.7351930608,2667930.9400000013,2533145.8000000007,73
2012,Qtr 3,July,8,554702.702109109,2360851.9,2224980.07,88
2012,Qtr 3,July,9,753082.2022475664,3614882.8100000005,3413992.1999999997,137
2012,Qtr 3,July,10,1179081.5496135126,5247818.550000003,5126568.670000004,183
2012,Qtr 3,July,11,1204051.8109999395,5591003.940000001,5409244.830000001,221
2012,Qtr 3,July,12,1265600.7122573284,5734632.019999998,5640030.049999997,246
2012,Qtr 3,July,13,1158066.3471809037,5309511.709999999,5253358.839999998,201
2012,Qtr 3,July,14,727432.8080686408,3825700.749999998,3646918.3099999996,157
2012,Qtr 3,July,15,776083.1432452573,3953374.1799999997,3831055.6399999997,149
2012,Qtr 3,July,16,784538.1860985182,3503801.490000001,3413113.1600000015,140
2012,Qtr 3,July,17,992958.549885192,4485554.210000002,4376229.120000001,185
2012,Qtr 3,July,18,1101976.3920330834,5196566.630000001,5054207.03,225
2012,Qtr 3,July,19,1381825.8979687814,6534341.2299999995,6221731.41,263
2012,Qtr 3,July,20,952396.207026327,5176387.29,5105168.949999999,231
2012,Qtr 3,July,21,671385.3655703652,3459080.150000002,3333154.3100000005,171
2012,Qtr 3,July,22,568546.8910357232,3130172.01,3000452.0700000003,140
2012,Qtr 3,July,23,1022178.7344941722,4730517.69,4635011.84,206
2012,Qtr 3,July,24,826615.231028465,4140813.770000001,3869015.46,186
2012,Qtr 3,July,25,1088370.0937547188,5333892.140000001,5111692.709999998,224
2012,Qtr 3,July,26,1245412.4005405926,5851965.060000004,5674857.120000003,273
2012,Qtr 3,July,27,1118975.7273593314,5165351.390000001,4947613.68,212
2012,Qtr 3,July,28,907798.8118773877,4337676.409999996,4230814.4899999965,176
2012,Qtr 3,July,29,964816.0422422285,4823566.059999999,4720193.7,206
2012,Qtr 3,July,30,1389642.1759715055,6645416.33,6401004.0600000005,268
2012,Qtr 3,July,31,2002142.5808509116,9231503.770000005,8886613.900000004,381
2012,Qtr 3,August,1,1814882.7226514479,9234582.63,8841553.190000001,360
2012,Qtr 3,August,2,2145181.182112074,9774240.599999998,9555755.2,413
2012,Qtr 3,August,3,2134952.509100031,9321766.210000003,8963025.440000003,353
2012,Qtr 3,August,4,1285506.0803523199,6481583.210000002,6199407.270000003,245
2012,Qtr 3,August,5,496597.19725039887,2359224.189999999,2317950.8399999994,76
2012,Qtr 3,August,6,668921.4898643808,3630003.6999999993,3451227.059999999,114
2012,Qtr 3,August,7,460168.8511427132,2265208.54,2220941,93
2012,Qtr 3,August,8,617486.3477583496,2617553.360000001,2550240.24,129
2012,Qtr 3,August,9,842512.5931998234,4478691.519999997,4397200.499999997,156
2012,Qtr 3,August,10,702899.4103978032,3433260.840000001,3300497.3400000003,158
2012,Qtr 3,August,11,545027.1726602063,2755823.6000000006,2495337.2,110
2012,Qtr 3,August,12,719219.1400569135,3406563.749999998,3223518.829999999,138
2012,Qtr 3,August,13,734474.0212478385,3947754.629999999,3814512.8199999994,153
2012,Qtr 3,August,14,810308.0953836113,4148623.4099999988,4035771.5199999996,151
2012,Qtr 3,August,15,875946.3188881378,3837077.749999999,3670285.2999999993,162
2012,Qtr 3,August,16,1018116.0827800892,5270295.8500000015,5041685.3100000005,212
2012,Qtr 3,August,17,847532.9459281206,4106009.350000001,4047888.790000001,158
2012,Qtr 3,August,18,633274.9984965618,3503894.269999999,3373259.18,135
2012,Qtr 3,August,19,872169.5334460238,3909253.8700000006,3768059.0300000003,158
2012,Qtr 3,August,20,708051.1041023404,3541027.3199999994,3435688.3499999987,158
2012,Qtr 3,August,21,773123.0987607216,4164901.7399999993,4005392.3400000003,172
2012,Qtr 3,August,22,1007574.9657259461,4597682.81,4500100.829999997,185
2012,Qtr 3,August,23,1233522.7151210837,5523444.23,5248222.880000001,231
2012,Qtr 3,August,24,999482.792527436,4642142.2700000005,4583687.240000001,196
2012,Qtr 3,August,25,797155.9388778101,3589566.279999999,3540380.669999999,141
2012,Qtr 3,August,26,776087.6480466571,4290678.45,4161010.420000001,164
2012,Qtr 3,August,27,663817.6449776375,3059363.2400000007,2930541.3300000015,137
2012,Qtr 3,August,28,2046854.0203778532,9608785.619999995,9354859.919999992,391
2012,Qtr 3,August,29,1900707.2804959558,9434999.810000004,9078724.140000004,382
2012,Qtr 3,August,30,2128266.0095375353,10167650.140000004,9896800.010000005,403
2012,Qtr 3,August,31,1813077.04360785,9204326.439999996,8957235.859999994,393
2012,Qtr 3,September,1,1793504.1111469807,8574910.850000005,8361785.660000005,341
2012,Qtr 3,September,2,623337.467145075,2587099.44,2515470.2599999993,106
2012,Qtr 3,September,3,778509.3138850956,3885565.4299999997,3723397.07,147
2012,Qtr 3,September,4,765489.0956800076,3651861.899999999,3583982.659999999,147
2012,Qtr 3,September,5,423982.6225183427,2408606.769999999,2357729.6599999988,87
2012,Qtr 3,September,6,672257.9403799883,2912522.3199999984,2646067.6699999995,119
2012,Qtr 3,September,7,687502.0386736781,3289332.829999998,3191517.029999998,139
2012,Qtr 3,September,8,818564.8867794654,3666204.8899999987,3522890.299999999,130
2012,Qtr 3,September,9,864409.3758624643,4458501.419999999,4329159.009999998,170
2012,Qtr 3,September,10,997423.9355516394,4548962.79,4402267.3,186
2012,Qtr 3,September,11,717343.3090929564,4021565.5500000003,3796916.4600000004,129
2012,Qtr 3,September,12,656757.0487680868,3335978.29,3308832.36,108
2012,Qtr 3,September,13,498734.80251527415,2656657.84,2496681.3000000003,116
2012,Qtr 3,September,14,855421.2499497904,3742251.530000002,3519108.960000001,136
2012,Qtr 3,September,15,748756.1117335474,3615846.4,3508490.8299999996,131
