product_id,product_name,category,segment,order_status,order_count
791,HanoiStreet RP-79,Outdoor,Activewear,delivered,8051
792,HanoiStreet RP-80,Outdoor,Activewear,delivered,8006
604,SaigonFlex UC-69,Streetwear,Everyday,delivered,6513
2045,UrbanVN UE-05,Streetwear,Performance,delivered,6374
487,SaigonFlex UM-92,Streetwear,Balanced,delivered,5965
2332,VietMotion UE-06,Streetwear,Performance,delivered,5831
1182,MekongFit UE-18,Streetwear,Performance,delivered,5673
438,SaigonFlex UM-43,Streetwear,Balanced,delivered,5657
927,HanoiStreet UE-36,Streetwear,Performance,delivered,5564
826,HanoiStreet UM-10,Streetwear,Balanced,delivered,5103
491,SaigonFlex UM-96,Streetwear,Balanced,delivered,4391
2054,UrbanVN UE-14,Streetwear,Performance,delivered,4362
2331,VietMotion UE-05,Streetwear,Performance,delivered,4319
993,HanoiStreet UC-56,Streetwear,Everyday,delivered,4055
733,HanoiStreet RP-21,Outdoor,Activewear,delivered,4034
475,SaigonFlex UM-80,Streetwear,Balanced,delivered,3993
734,HanoiStreet RP-22,Outdoor,Activewear,delivered,3977
1086,MekongFit RP-32,Outdoor,Activewear,delivered,3973
1085,MekongFit RP-31,Outdoor,Activewear,delivered,3962
760,HanoiStreet RP-48,Outdoor,Activewear,delivered,3840
759,HanoiStreet RP-47,Outdoor,Activewear,delivered,3839
2055,UrbanVN UE-15,Streetwear,Performance,delivered,3695
794,HanoiStreet RP-82,Outdoor,Activewear,delivered,3677
793,HanoiStreet RP-81,Outdoor,Activewear,delivered,3662
2064,UrbanVN UE-24,Streetwear,Performance,delivered,3660
907,HanoiStreet UE-16,Streetwear,Performance,delivered,3595
2269,VietMotion RS-02,Outdoor,Premium,delivered,3545
2396,VietMotion YY-05,GenZ,Trendy,delivered,3468
762,HanoiStreet RP-50,Outdoor,Activewear,delivered,3401
761,HanoiStreet RP-49,Outdoor,Activewear,delivered,3399
1000,HanoiStreet YY-01,GenZ,Trendy,delivered,3393
2275,VietMotion RS-08,Outdoor,Premium,delivered,3290
981,HanoiStreet UC-44,Streetwear,Everyday,delivered,3259
396,SaigonFlex UM-01,Streetwear,Balanced,delivered,3163
977,HanoiStreet UC-40,Streetwear,Everyday,delivered,3026
1053,MekongFit MA-11,Casual,All-weather,delivered,2916
1009,HanoiStreet YY-10,GenZ,Trendy,delivered,2823
976,HanoiStreet UC-39,Streetwear,Everyday,delivered,2813
609,SaigonFlex UC-74,Streetwear,Everyday,delivered,2808
449,SaigonFlex UM-54,Streetwear,Balanced,delivered,2766
786,HanoiStreet RP-74,Outdoor,Activewear,delivered,2739
2224,VietMotion RP-21,Outdoor,Activewear,delivered,2717
2225,VietMotion RP-22,Outdoor,Activewear,delivered,2714
785,HanoiStreet RP-73,Outdoor,Activewear,delivered,2713
2388,VietMotion UC-36,Streetwear,Everyday,delivered,2703
2218,VietMotion RP-15,Outdoor,Activewear,delivered,2673
